player_name,team_name,pos,games_played,g,a,pts,pims,sog,gwg,ppp,shp,hits,blk
Nikita Kucherov,TB,RW,82,41,87,128,62,246,8,48,0,44,31
Connor McDavid,EDM,C,78,41,75,116,20,240,9,33,2,39,30
Patrick Kane,CHI,RW,81,44,66,110,22,341,7,30,0,21,18
Leon Draisaitl,EDM,C,82,50,55,105,52,231,5,29,3,57,26
Brad Marchand,BOS,LW,79,36,64,100,96,231,9,34,7,46,19
Sidney Crosby,PIT,C,79,35,65,100,36,220,3,29,2,85,43
Nathan MacKinnon,COL,C,82,41,58,99,34,365,6,37,0,54,31
Johnny Gaudreau,CGY,LW,82,36,63,99,24,245,8,27,0,12,12
Steven Stamkos,TB,C,82,45,53,98,37,234,6,40,2,72,40
Aleksander Barkov,FLA,C,82,35,61,96,8,206,5,31,1,28,61
Mitch Marner,TOR,C,82,26,68,94,22,233,5,21,3,29,43
Brayden Point,TB,C,79,41,51,92,28,191,7,35,0,31,43
Jonathan Huberdeau,FLA,LW,82,30,62,92,40,226,5,34,0,57,45
Blake Wheeler,WPG,RW,82,20,71,91,60,231,3,33,3,81,53
Alex Ovechkin,WAS,LW,81,51,38,89,40,338,5,28,0,223,41
John Tavares,TOR,C,82,47,41,88,34,286,8,19,0,59,53
Mikko Rantanen,COL,RW,74,31,56,87,54,193,4,33,0,59,41
Artemi Panarin,NYR,LW,79,28,59,87,23,191,8,18,0,14,17
Claude Giroux,PHI,C,82,22,63,85,24,229,4,23,1,28,19
Mark Scheifele,WPG,C,82,38,46,84,38,199,6,23,3,54,54
Sebastian Aho,CAR,LW,82,30,53,83,26,243,7,24,5,65,34
Brent Burns,SJ,D,82,16,67,83,34,300,6,28,5,90,105
Sean Monahan,CGY,C,78,34,48,82,12,211,5,23,0,36,24
Jack Eichel,BUF,C,77,28,54,82,26,303,2,26,0,70,51
Phil Kessel,ARI,RW,82,27,55,82,28,215,10,36,0,12,18
David Pastrnak,BOS,RW,66,38,43,81,32,235,4,33,0,57,25
Jonathan Toews,CHI,C,82,35,46,81,40,235,5,23,1,42,44
Tyler Seguin,DAL,C,82,33,47,80,18,334,8,27,0,74,47
Patrice Bergeron,BOS,C,65,32,47,79,30,205,3,27,7,43,60
Elias Lindholm,CGY,RW,81,27,51,78,20,182,5,26,4,82,39
Matthew Tkachuk,CGY,LW,80,34,43,77,62,207,2,24,0,104,13
Ryan O'Reilly,STL,C,82,28,49,77,12,234,5,22,3,31,36
Alex DeBrincat,CHI,RW,82,41,35,76,15,220,3,24,0,35,26
Jake Guentzel,PIT,LW,82,40,36,76,26,227,4,11,1,105,47
Sean Couturier,PHI,C,80,33,43,76,34,223,5,17,1,40,60
Teuvo Teravainen,CAR,C,82,21,55,76,12,167,1,24,5,35,23
Gabriel Landeskog,COL,LW,73,34,41,75,51,243,9,27,0,120,64
Tomas Hertl,SJ,LW,77,35,39,74,18,176,5,15,2,53,64
Mika Zibanejad,NYR,C,82,30,44,74,47,236,5,23,2,134,66
Nicklas Backstrom,WAS,C,80,22,52,74,30,169,5,25,0,54,30
Mark Giordano,CGY,D,78,17,57,74,69,221,2,21,6,58,144
Auston Matthews,TOR,C,68,37,36,73,12,251,5,20,0,28,60
Mark Stone,VGK,RW,77,33,40,73,27,199,4,20,1,72,71
Dylan Larkin,DET,C,76,32,41,73,75,287,4,15,3,80,38
David Krejci,BOS,C,81,20,53,73,16,139,4,16,0,28,24
Alexander Radulov,DAL,RW,70,29,43,72,54,209,7,23,0,60,83
Max Domi,MON,C,82,28,44,72,80,203,2,11,0,53,39
Evgeny Kuznetsov,WAS,C,76,21,51,72,50,193,3,23,0,46,20
Evgeni Malkin,PIT,C,68,21,51,72,89,187,5,26,0,54,33
Morgan Rielly,TOR,D,82,20,52,72,14,223,5,21,0,61,114
Mike Hoffman,FLA,LW,82,36,34,70,30,253,6,35,0,42,26
Matt Duchene,NSH,C,73,31,39,70,8,172,1,14,0,28,40
Evgenii Dadonov,FLA,RW,82,28,42,70,8,195,4,17,0,33,42
Logan Couture,SJ,C,81,27,43,70,22,204,3,18,2,65,52
John Carlson,WAS,D,80,13,57,70,34,185,1,33,0,54,164
Cam Atkinson,CLS,RW,80,41,28,69,20,295,8,14,4,27,25
Ryan Nugent-Hopkins,EDM,LW,82,28,41,69,26,208,3,26,3,69,40
Vladimir Tarasenko,STL,RW,76,33,35,68,22,275,5,22,0,88,40
Kyle Connor,WPG,LW,82,34,32,66,18,227,5,19,1,9,21
Timo Meier,SJ,LW,78,30,36,66,55,250,2,10,1,99,40
Elias Pettersson,VAN,C,71,28,38,66,12,144,7,22,0,42,51
Jakub Voracek,PHI,LW,78,20,46,66,25,210,2,18,0,17,29
Sam Reinhart,BUF,C,82,22,43,65,16,180,1,15,0,38,47
Joe Pavelski,DAL,RW,75,38,26,64,22,188,6,21,1,69,61
Ryan Johansen,NSH,C,80,14,50,64,42,136,6,16,2,95,23
Jeff Skinner,BUF,LW,82,40,23,63,36,268,7,16,0,31,24
Mathew Barzal,NYI,C,82,18,44,62,46,179,3,18,0,25,56
Keith Yandle,FLA,D,82,9,53,62,50,199,2,39,0,47,76
Zach Parise,MIN,LW,74,28,33,61,26,229,5,16,2,49,71
Pierre-Luc Dubois,CLS,LW,82,27,34,61,64,174,5,9,0,115,52
Bo Horvat,VAN,C,82,27,34,61,33,227,3,18,3,62,63
Anze Kopitar,LA,C,81,22,38,60,30,156,3,19,2,59,66
Gustav Nyquist,CLS,RW,81,22,38,60,12,204,3,12,0,36,23
Erik Gustafsson,CHI,D,79,17,43,60,34,160,3,18,0,100,115
Jonathan Marchessault,VGK,LW,82,25,34,59,52,278,6,16,0,98,22
Tyson Barrie,TOR,D,78,14,45,59,36,218,2,25,0,48,93
Tomas Tatar,MON,LW,80,25,33,58,34,195,4,8,0,77,30
Dylan Strome,CHI,C,78,20,37,57,20,145,3,16,0,13,46
Evander Kane,SJ,LW,75,30,26,56,153,268,1,11,2,173,25
Ryan Dzingel,CAR,C,78,26,30,56,29,159,5,11,0,54,38
Brock Boeser,VAN,RW,69,26,30,56,22,209,3,15,0,14,22
William Karlsson,VGK,C,82,24,32,56,16,169,5,14,3,51,55
Kevin Labanc,SJ,RW,82,17,39,56,36,130,4,20,0,66,16
Kris Letang,PIT,D,65,16,40,56,48,206,3,19,2,116,111
Josh Bailey,NYI,LW,82,16,40,56,21,126,4,14,1,19,32
Roman Josi,NSH,D,82,15,41,56,42,274,4,12,1,53,144
Kevin Hayes,PHI,C,71,19,36,55,12,156,2,11,3,58,15
Thomas Chabot,OTT,D,70,14,41,55,32,185,2,16,1,71,112
Andreas Athanasiou,DET,C,76,30,24,54,38,216,4,11,0,33,26
T.J. Oshie,WAS,RW,69,25,29,54,36,143,4,14,1,133,55
Brayden Schenn,STL,LW,72,17,37,54,40,159,5,12,0,111,31
Mikael Granlund,NSH,C,79,16,38,54,24,189,5,20,2,46,40
Victor Hedman,TB,D,70,12,42,54,44,182,4,25,1,59,97
