Rk,Team_Name,AvAge,GP,W,L,OL,PTS,GF,GA,PP,PK,SH,S,SA,SV,SO
1,Tampa Bay Lightning*,27.1,82,62,16,4,128,319,221,28.24,85.02,12,2620,2633,.916,6
2,Boston Bruins*,28.7,82,49,24,9,107,257,212,25.90,79.92,7,2680,2416,.912,9
3,Calgary Flames*,27.7,82,50,25,7,107,289,223,19.27,79.67,18,2656,2302,.903,3
4,Washington Capitals*,28.8,82,48,26,8,104,274,248,20.76,78.93,5,2492,2584,.904,4
5,New York Islanders*,28.4,82,48,27,7,103,223,191,14.54,79.91,6,2360,2534,.925,11
6,San Jose Sharks*,29.4,82,46,27,9,101,289,258,23.65,80.77,9,2708,2323,.889,5
7,Nashville Predators*,28.9,82,47,29,6,100,236,212,12.94,82.07,8,2677,2460,.914,7
8,Toronto Maple Leafs*,27.5,82,46,28,8,100,286,249,21.80,79.90,5,2736,2717,.908,3
9,Pittsburgh Penguins*,28.4,82,44,26,12,100,271,238,24.56,79.73,12,2731,2729,.913,7
10,Carolina Hurricanes*,26.8,82,46,29,7,99,243,221,17.81,81.59,8,2822,2343,.906,6
11,St. Louis Blues*,28.0,82,45,28,9,99,244,220,21.10,81.47,5,2604,2345,.906,9
12,Winnipeg Jets*,26.6,82,47,30,5,99,270,243,24.80,79.20,10,2557,2741,.911,3
13,Columbus Blue Jackets*,26.6,82,47,31,4,98,256,231,15.38,85.00,8,2592,2418,.904,9
14,Montreal Canadiens,27.9,82,44,30,8,96,246,236,13.25,80.91,5,2796,2548,.907,4
15,Vegas Golden Knights*,29.2,82,43,32,7,93,246,228,16.81,80.87,11,2814,2399,.905,9
16,Dallas Stars*,28.3,82,43,32,7,93,209,200,21.03,82.77,4,2519,2591,.923,10
17,Colorado Avalanche*,27.0,82,38,30,14,90,258,244,22.03,78.68,9,2676,2619,.907,5
18,Arizona Coyotes,27.2,82,39,35,8,86,209,220,16.28,84.96,16,2522,2526,.913,6
19,Florida Panthers,28.0,82,36,32,14,86,264,273,26.77,81.30,3,2705,2516,.891,1
20,Chicago Blackhawks,28.5,82,36,34,12,84,267,291,20.17,72.73,6,2669,2852,.898,2
21,Minnesota Wild,29.5,82,37,36,9,83,210,233,20.33,81.67,5,2567,2419,.904,2
22,Philadelphia Flyers,26.6,82,37,37,8,82,241,280,17.09,78.48,4,2583,2665,.895,3
23,Vancouver Canucks,26.9,82,35,36,11,81,219,248,17.13,81.10,7,2433,2597,.905,1
24,Anaheim Ducks,27.5,82,35,37,10,80,196,248,16.98,79.70,5,2271,2725,.909,4
25,Edmonton Oilers,27.2,82,35,38,9,79,229,271,21.17,74.80,10,2392,2599,.896,5
26,New York Rangers,27.4,82,32,36,14,78,221,267,19.38,78.20,7,2393,2774,.904,2
27,Buffalo Sabres,26.6,82,33,39,10,76,221,268,19.49,80.93,3,2697,2704,.901,2
28,Detroit Red Wings,29.3,82,32,40,10,74,224,272,18.06,77.14,7,2394,2761,.901,2
29,New Jersey Devils,27.5,82,31,41,10,72,219,271,17.72,84.31,10,2488,2592,.895,6
30,Los Angeles Kings,29.3,82,31,42,9,71,199,259,15.84,76.52,4,2358,2578,.900,5
31,Ottawa Senators,27.3,82,29,47,6,64,242,301,20.35,79.17,4,2429,2931,.897,4
